resolution,surface_voxels,largest_abs_jump,large_jump_count,delta_mean,delta_stddev,delta_cv,longest_plateau,surface_components,x_mismatch,y_mismatch,z_mismatch
10,488,64,2,0.00000000,30.16988933,0.00000000,8,1,0,0,0
20,2168,324,2,0.00000000,105.11948089,0.00000000,18,1,0,0,0
