part_id,name,category,stud_x,stud_y,height_units,active
3680,"Turntable 2 x 2 Plate, Base","Hinges, Arms and Turntables",2,2,1,true
3679,Turntable 2 x 2 Plate - Top,"Hinges, Arms and Turntables",2,2,1,true
34816,Brick Special 1 x 2 with Vertical Closed Handle on Edge,Bricks Special,1,2,1,true
32009,Technic Beam 1 x 11.5 Double Bent Thick,Technic Beams,1,11,1,false
6180,Plate Special 4 x 6 with Studs on 3 Edges,Plates Special,4,6,1,true
15395,Brick Round 2 x 2 Dome Bottom [Open Stud],Bricks Round and Cones,2,2,1,true
67329,Brick Special 1 x 2 x 1 2/3 with 8 Studs on 3 Sides,Bricks Special,1,2,1,true
39739,Tile 1 x 1 Heart,Tiles Round and Curved,1,1,1,true
13731,Brick Curved 10 x 1 [Symmetric Inside Ridges],Bricks Curved,10,1,1,true
75937,"Plate Special 2 x 2 with Bar Frame Octagonal, Reinforced, Completely Round Studs",Plates Special,2,2,1,true
86996,Plate 1 x 1 x 2/3 with Open Stud,Plates,1,1,2/3,true
2730,Technic Brick 1 x 10 [9 Pin Holes],Technic Bricks,1,10,1,false
57360,"Hinge Cylinder 1 x 2 Locking with 2 Click Fingers and Axle Hole, 7 Teeth","Hinges, Arms and Turntables",1,2,1,true
6081,Brick Curved 2 x 4 x 1 1/3,Bricks Curved,2,4,1,true
2817,Plate Special 2 x 2 with 2 Pin Holes,Plates Special,2,2,1,true
3942c,"Cone 2 x 2 x 2, Open Stud",Bricks Round and Cones,2,2,2,true
3297,Slope 33° 3 x 4,Bricks Sloped,3,4,1,true
92013,Technic Brick Special 2 x 2 with Ball Socket Wide and Axle Hole,Technic Special,2,2,1,false
93095,Panel 1 x 2 x 1 with Rounded Corners and Central Divider,Panels,1,2,1,true
66792,Plate Round Corners 4 x 4 x 2/3 Circle with Reduced Knobs,Plates Round Curved and Dishes,4,4,2/3,true
30383,Hinge Plate 1 x 2 Locking with 1 Finger On Top,"Hinges, Arms and Turntables",1,2,1,true
15403,"Launcher, Plate Special 1 x 2 with Mini Blaster",Projectiles / Launchers,1,2,1,false
87609,"Plate Special 2 x 6 x 2/3 with 4 Studs on Side, 1 Support Wall on Bottom",Plates Special,2,6,2/3,true
32056,Technic Beam 3 x 3 L-Shape Thin,Technic Beams,3,3,1,false
92582,Hinge Plate 2 x 2 Locking with 1 Finger on Top,"Hinges, Arms and Turntables",2,2,1,true
30165,"Brick Curved 2 x 2, Two Top Studs",Bricks Curved,2,2,1,true
3830,Hinge Brick 1 x 4 [Upper],"Hinges, Arms and Turntables",1,4,1,true
3831,Hinge Brick 1 x 4 [Lower],"Hinges, Arms and Turntables",1,4,1,true
60476,Brick Special 1 x 1 with Clip Horizontal,Bricks Special,1,1,1,true
87414,Tyre 15 x 6 Offset Tread Small with Band around Center,Wheels and Tyres,15,6,1,false
22886,Brick 1 x 2 x 3 with Bottom Stud Holder,Bricks,1,2,3,true
57895,Glass for Window 1 x 4 x 6,Windows and Doors,1,4,6,true
6106,Wedge Plate 6 x 6 Cut Corner,Plates Angled,6,6,1,false
14419,Plate Special 1 x 2 with 5.9mm Towball Socket and Towball,Plates Special,1,2,1,true
35459,Tile Special 1 x 3 Inverted with Center Hole,Tiles Special,1,3,1,true
56145,"Wheel 30.4 x 20 without Pinholes, with Reinforced Rim",Wheels and Tyres,4,20,1,false
2419,Wedge Plate 3 x 6 Cut Corners,Plates Angled,3,6,1,false
59895,Tyre 14 x 4 Smooth Small Single [New Style],Wheels and Tyres,14,4,1,false
64799,Plate Special 4 x 4 with 2 x 2 Opening,Plates Special,4,4,1,true
32530,Technic Pin Connector Plate 1 x 2 x 1 2/3 [Two Holes On Top],Technic Connectors,1,2,1,false
90195,Window 1 x 2 x 2 Castle,Windows and Doors,1,2,2,true
10202,Tile 6 x 6 with Bottom Tubes,Tiles,6,6,1,true
15456,Plate Special 2 x 2 with Towball and Hole,Plates Special,2,2,1,true
14718,Panel 1 x 4 x 2 with Side Supports - Hollow Studs,Panels,1,4,2,true
2723,Technic Disc 3 x 3,Technic Special,3,3,1,false
92402,Tyre 30.4 x 14 Offset Tread [Centre Band],Wheels and Tyres,4,14,1,false
50745,"Wheel Arch, Mudguard 4 x 2 1/2 x 2 with 2 x 2 Plate",Transportation - Land,4,2,1,true
38320,Window Pane Latticed 1 x 2 x 2,Windows and Doors,1,2,2,true
15332,Fence Spindled 1 x 4 x 2 [4 Top Studs],"Bars, Ladders and Fences",1,4,2,true
47458,"Wedge Curved 1 x 2 x 2/3 No Studs, Wing End",Bricks Wedged,1,2,2/3,true
32001,Technic Plate 2 x 6 [5 Holes],Plates Special,2,6,1,true
32018,Technic Brick 1 x 14 [13 Pin Holes],Technic Bricks,1,14,1,false
30099,Brick Arch 1 x 5 x 4 Inverted,Bricks Curved,1,5,4,true
3038,Slope 45° 2 x 3,Bricks Sloped,2,3,1,true
4488,Plate Special 2 x 2 with Wheel Holder,Plates Special,2,2,1,true
61485,"Turntable 4 x 4 Square Base, Locking","Hinges, Arms and Turntables",4,4,1,true
85943,Technic Brick 1 x 2 with Hole and Dual Beam Extensions,Technic Special,1,2,1,false
30602,"Slope Curved 2 x 2 with Lip, No Studs",Bricks Curved,2,2,1,true
66956,Slope Curved 2 x 2 with Stud Notches,Bricks Curved,2,2,1,true
6215,Brick Curved 2 x 3,Bricks Curved,2,3,1,true
39789,Brick Special 2 x 4 with 3 Axle Holes,Bricks Special,2,4,1,true
79756,"Brick Curved 1 x 4 x 2/3 Double, No Studs",Bricks Curved,1,4,2/3,true
